ProductCategoryID,ProductCategoryCode,ParentProductCategoryCode,ProductCategoryName
21298,17202075,17202000,"> 23"" TFT-Displays"
21546,17204000,17200000,Public Displays
21577,17204005,17204000,"Public-Display < 30"" (76cm)"
21547,17204010,17204000,"30-36"" (76-91cm)"
21548,17204020,17204000,"37-39"" (94-99cm)"
21549,17204023,17204000,"40-45"" (100-114cm)"
21550,17204025,17204000,"46-51"" (117-129cm)"
21551,17204030,17204000,"52-59"" (132-150cm)"
21552,17204035,17204000,"ab 60"" (152cm)"
21128,17205000,17200000,Drucker
21045,17205010,17205000,Tintenstrahldrucker
21049,17205015,17205000,Photo Printers
21046,17205020,17205000,S/W-Laserdrucker
21047,17205025,17205000,Farb-Laserdrucker
21048,17205030,17205000,Nadeldrucker
21369,17205035,17205000,Etikettendrucker
21050,17205050,17205000,Plotter
21553,17205060,17205000,3D Drucker
21248,17205500,17200000,Multifunktionsgeräte
21249,17205510,17205500,Multifunktionsgeräte Tinte
21250,17205520,17205500,Multifunktionsgeräte S/W-Laser
21251,17205530,17205500,Multifunktionsgeräte Farb-Laser
21129,17206000,17200000,Scanner
21051,17206010,17206000,Flachbettscanner
21053,17206030,17206000,Einzugsscanner
21052,17206050,17206000,Handscanner
21130,17300000,17000000,PC-Komponenten
21132,17301000,17300000,Eingabe- / Zeigegeräte
21054,17301005,17301000,Mäuse
21055,17301010,17301000,Trackballs
21056,17301015,17301000,Kabellose Mäuse
21197,17301017,17301000,Kabellose Trackballs
21057,17301020,17301000,Tastaturen
21374,17301023,17301000,Tastatur-Sets
21058,17301025,17301000,Kabellose Tastaturen
21375,17301028,17301000,Kabellose Tastatur-Sets
21059,17301030,17301000,Touchpads
21060,17301035,17301000,Grafiktabletts
21061,17301050,17301000,Joysticks
21062,17301055,17301000,Gamepads
21450,17301060,17301000,PC-Lenkräder
21281,17301500,17300000,Headsets /  Mikrofone / Webcams
21276,17301505,17301500,PC-Headsets
21278,17301510,17301500,PC-Mikrofone
21279,17301515,17301500,Webcams
21376,17301520,17301500,Webcam-Sets
21133,17302000,17300000,Analog-Modems
21067,17302020,17302000,Analog-Modems extern
21064,17302030,17302000,Analog-Modems ISA
21065,17302040,17302000,Analog-Modems PCI
21066,17302050,17302000,Analog-Modems PCMCIA
21221,17302300,17300000,DSL-Modems
21222,17302320,17302300,DSL-Modems Extern
21223,17302340,17302300,DSL-Modems PCI
21224,17302350,17302300,DSL-Modems PCMCIA
21134,17302500,17300000,ISDN-Modems
21068,17302520,17302500,ISDN-Modems extern
21069,17302530,17302500,ISDN-Modems ISA
21070,17302540,17302500,ISDN-Modems PCI
21071,17302550,17302500,ISDN-Modems PCMCIA
21135,17303000,17300000,Grafikkarten
21072,17303010,17303000,Grafikkarten ISA
21073,17303020,17303000,Grafikkarten PCI
21299,17303025,17303000,Grafikkarten PCI Express
21074,17303030,17303000,Grafikkarten AGP
21136,17304000,17300000,Sound- / Videokarten
21075,17304010,17304000,Soundkarten ISA
21076,17304020,17304000,Soundkarten PCI
